[159.258842468] 2018-03-13 17:42:33,915 - INFO - launcher: Starting sanity checks
[159.758567810] 2018-03-13 17:42:33,915 - INFO - launcher: Checking for Python 3.5+
[160.258293152] 2018-03-13 17:42:33,916 - INFO - launcher: Checking console encoding
[160.258293152] 2018-03-13 17:42:33,916 - INFO - launcher: Setting console encoding to UTF-8
[160.758733749] 2018-03-13 17:42:33,916 - INFO - launcher: Ensuring we're in the right environment
[162.258863449] 2018-03-13 17:42:33,918 - INFO - launcher: Adding local bins/ folder to path
[162.758827209] 2018-03-13 17:42:33,918 - INFO - launcher: Required checks passed.
[163.258790970] 2018-03-13 17:42:33,919 - INFO - launcher: Optional checks passed.
[163.758993149] 2018-03-13 17:42:33,919 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[8.7179009914398193] 2018-03-13 17:42:42,473 - DEBUG - musicbot.bot | In bot.py::MainThread(7744), line 213 in _setup_logging: Set logging level to INFO
[8.7179009914398193] 2018-03-13 17:42:42,473 - INFO - musicbot.bot | In bot.py::MainThread(7744), line 80 in __init__: =========== MusicBot (version 1.9.6_2) ===========
[8.7189013957977295] 2018-03-13 17:42:42,474 - INFO - musicbot.bot | In bot.py::MainThread(7744), line 86 in __init__: Loaded autoplaylist with 2531 entries
[8.720401525] launcher-INFO: Connecting
[11.5869522094726562] 2018-03-13 17:42:45,343 - DEBUG - musicbot.bot | In bot.py::MainThread(7744), line 1011 in on_ready: Connection established, ready to go.
[11.5874407291412354] 2018-03-13 17:42:45,343 - DEBUG - musicbot.bot | In bot.py::MainThread(7744), line 324 in _cache_app_info: Caching app info
[11.7121601104736328] 2018-03-13 17:42:45,468 - DEBUG - musicbot.bot | In bot.py::MainThread(7744), line 828 in _scheck_ensure_env: Ensuring data folders exist
[11.7176601886749268] 2018-03-13 17:42:45,473 - DEBUG - musicbot.bot | In bot.py::MainThread(7744), line 844 in _scheck_server_permissions: Checking server permissions
[11.7176601886749268] 2018-03-13 17:42:45,473 - DEBUG - musicbot.bot | In bot.py::MainThread(7744), line 848 in _scheck_autoplaylist: Auditing autoplaylist
[11.7181599140167236] 2018-03-13 17:42:45,474 - DEBUG - musicbot.bot | In bot.py::MainThread(7744), line 852 in _scheck_configs: Validating config
[11.7181599140167236] 2018-03-13 17:42:45,474 - DEBUG - musicbot.config | In config.py::MainThread(7744), line 155 in async_validate: Validating options...
